objectid,filename,youtubeid,vimeoid,goodreads,title,creator,date,date_published,description,subject,location,location_setting,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
video001,rudolfo_anaya_interview_bless_me_ultima_movie,d8B-Y2SOgpU,,,"Rudolfo Anaya Interview Bless Me, Ultima Movie",Arenas Entertainment,2013-03-18,,"Video of an interview with Rudolfo Anaya on the book BLESS ME, ULTIMA",interviews,,,,,YouTube,,Image;MovingImage,video/mp4,eng,Public Domain,https://creativecommons.org/licenses/by/3.0/us/
video002,interview_of_richard_adams_watership_down_author_at_whitchurch_arts_show_(nov_2012),TUBrxPMntG4,,,"Interview of Richard Adams, Watership Down author, at Whitchurch Arts show (Nov 2012)",,2012-11-07,,Video of an interview with Richard Adams on the book Watership Down,interviews,,,,,YouTube,,Image;MovingImage,video/mp4,eng,Public Domain,https://creativecommons.org/licenses/by/3.0/us/
book001,abbey.jpg,,,https://www.goodreads.com/book/show/99208.The_Monkey_Wrench_Gang?from_search=true&from_srp=true&qid=qCNqjpSE9s&rank=1,The Monkey Wrench Gang,"Abbey, Edward",1975,2006-12-12,"Photographic image of the book by Abbey, Edward.",books,,"Arizona, USA; Southwest, USA; Utah, USA",,,Goodreads,,Image;StillImage,image/jpeg,eng,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
book002,adams.jpg,,,https://www.goodreads.com/book/show/76620.Watership_Down?from_search=true&from_srp=true&qid=XkpVnBIxgW&rank=1,Watership Down,"Adams, Richard",1972,1975-06-01,"Photographic image of the book by Adams, Richard.",books,,"Watership Down, Hampshire, England, UK",,,Goodreads,,Image;StillImage,image/jpeg,eng,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
book003,allende.jpg,,,https://www.goodreads.com/book/show/3304.City_of_the_Beasts?from_search=true&from_srp=true&qid=9YSYwGmPvS&rank=1,City of the Beasts,"Allende, Isabel",2002,2004-04-27,"Photographic image of the book by Allende, Isabel.",books,,Amazon Rainforest,,,Goodreads,,Image;StillImage,image/jpeg,eng,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
book004,amado.jpg,,,https://www.goodreads.com/book/show/1074804.Tieta_the_Goat_Girl?from_search=true&from_srp=true&qid=ltJmO9MGxo&rank=1,"Tieta, the Goat Girl: Or, the Return of the Prodigal Daughter","Amado, Jorge",1979,,"Photographic image of the book by Amado, Jorge.",books,,,,,Amazon.com,,Image;StillImage,image/jpeg,eng,In Copyright - Non-Commercial Use Permitted,https://www.amazon.sg/Tieta-Goat-Girl-Melodramatic-Sensational/dp/039450139X
book005,anaya.jpg,,,https://www.goodreads.com/book/show/14362.Bless_Me_Ultima?from_search=true&from_srp=true&qid=ze7rvMnNCw&rank=1,"Bless Me, Ultima","Anaya, Rudolfo A.",1972,1999-04-01,"Photographic image of the book by Anaya, Rudolfo A..",books,,"New Mexico, USA",,,Goodreads,,Image;StillImage,image/jpeg,eng,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
book006,atwood.jpg,,,https://www.goodreads.com/book/show/46755.Surfacing?from_search=true&from_srp=true&qid=Sm05jJGDAq&rank=1,Surfacing,"Atwood, Margaret",1972,1998-06-01,"Photographic image of the book by Atwood, Margaret.",books,,"Québec, Canada",,,Goodreads,,Image;StillImage,image/jpeg,eng,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
book007,austin.jpg,,,https://www.goodreads.com/book/show/2668578-lost-borders?from_search=true&from_srp=true&qid=XFf2OKgH9Q&rank=1,Lost Borders,"Austin, Mary Hunter",1909,,"Photographic image of the book by Austin, Mary Hunter.",books,,,,,Amazon.com,,Image;StillImage,image/jpeg,eng,In Copyright - Non-Commercial Use Permitted,https://www.amazon.sg/Borders-Classic-Reprint-Hunter-Austin/dp/B008NUCQMO/ref=sr_1_1?crid=A70SFMTYPI6R&dib=eyJ2IjoiMSJ9.9l9TGEjIlovbQmhXyTCQqRX7Zetl77B21vsYB5bKZDQ.b_ffwKcV5yCZZHRTt7TQn0Fz_Qaxk819nZFp0Oj9bMo&dib_tag=se&keywords=Lost+Borders+by+Mary+Hunter+Austin&qid=1744822596&sprefix=lost+borders+by+mary+hunter+austin%2Caps%2C96&sr=8-1
book008,bergon.jpg,,,https://www.goodreads.com/book/show/2193795.The_Temptations_of_St_Ed_Brother_S?from_search=true&from_srp=true&qid=9woIBhzFaj&rank=1,The Temptations of St. Ed & Brother S,"Bergon, Frank",1993,,"Photographic image of the book by Bergon, Frank.",books,,,,,Amazon.com,,Image;StillImage,image/jpeg,eng,In Copyright - Non-Commercial Use Permitted,https://www.amazon.com/Temptations-St-Brother-Western-Literature/dp/0874172268
